CS291,11/07/2016,10:00 AM,"Payne, Michele",863360,Absent
CS101,10/05/2016,3:00 PM,"Snow, Jose",486163,Present
CS191,09/28/2016,3:00 PM,"Sexton, Dora",708846,Present
CS201,08/24/2016,11:00 AM,"Miller, Amber",161920,Present
CS191,08/24/2016,3:00 PM,"Moore, Jerry",175297,Present
CS191,09/07/2016,3:00 PM,"Hand, Benjamin",265451,Present
CS201,09/21/2016,11:00 AM,"Kelley, Janice",358472,Present
CS201,09/26/2016,11:00 AM,"Wilson, Sylvia",401290,Present
CS281,09/12/2016,12:00 PM,"Hernandez, James",577006,Present
CS191,08/31/2016,3:00 PM,"Anderson, Britney",643962,Absent
CS201,09/05/2016,11:00 AM,"Thompson, Linda",957196,Present
CS201,08/24/2016,11:00 AM,"Torres, Cassidy",758830,Present
CS291,11/30/2016,10:00 AM,"Watkins, Jennifer",677991,Absent
CS201,10/19/2016,11:00 AM,"Allen, Timothy",178224,Present
CS191,09/07/2016,3:00 PM,"Leland, Dewey",423380,Present
CS101,11/21/2016,3:00 PM,"Maxson, Jamie",510759,Absent
CS281,10/12/2016,12:00 PM,"Koon, Daniel",423691,Absent
CS281,10/10/2016,12:00 PM,"Katz, Rebecca",733498,Absent
CS101,09/05/2016,3:00 PM,"Miller, Gary",970470,Present
CS101,11/09/2016,3:00 PM,"Coleman, John",670248,Present
CS191,10/19/2016,3:00 PM,"Mack, Regina",954159,Present
CS191,11/07/2016,3:00 PM,"Jensen, Minnie",580471,Present
CS281,09/28/2016,12:00 PM,"Gatewood, Cheryl",388988,Present
CS201,09/26/2016,11:00 AM,"Nye, Ronny",173449,Absent
CS101,08/24/2016,3:00 PM,"Wood, Susan",650359,Present
CS191,09/05/2016,3:00 PM,"Mack, Regina",954159,Absent
CS191,11/09/2016,3:00 PM,"Martinez, Christopher",861315,Present
CS201,11/07/2016,11:00 AM,"Jones, Bill",485727,Present
CS201,09/26/2016,11:00 AM,"Hall, William",929539,Present
CS191,09/14/2016,3:00 PM,"Quarles, Lydia",450781,Present
CS191,11/23/2016,3:00 PM,"Champagne, Harold",381734,Present
CS281,11/28/2016,12:00 PM,"Whittle, Brenda",204292,Present
CS201,12/07/2016,11:00 AM,"Howes, Paul",788336,Absent
CS101,12/07/2016,3:00 PM,"Wilson, Sylvia",401290,Present
CS191,09/05/2016,3:00 PM,"Anderson, Frank",996132,Absent
CS281,08/22/2016,12:00 PM,"Conerly, David",462201,Absent
CS291,12/07/2016,10:00 AM,"Lange, Christy",691419,Present
CS191,09/28/2016,3:00 PM,"Pendelton, Fay",455081,Present
CS281,09/14/2016,12:00 PM,"Seaman, Beverly",860272,Present
CS201,10/26/2016,11:00 AM,"Perez, Mark",119201,Present
CS201,08/22/2016,11:00 AM,"Crick, Lorraine",218516,Present
CS201,10/05/2016,11:00 AM,"Hernandez, James",577006,Absent
CS201,10/26/2016,11:00 AM,"Espinoza, Dorothy",539227,Present
CS281,09/12/2016,12:00 PM,"Walton, Steven",403631,Absent
CS201,11/07/2016,11:00 AM,"Espinoza, Dorothy",539227,Present
CS281,08/22/2016,12:00 PM,"Blanco, Miguel",491293,Present
CS101,10/24/2016,3:00 PM,"Vachon, Daniel",706731,Absent
CS101,10/26/2016,3:00 PM,"Callahan, William",370278,Absent
CS201,08/31/2016,11:00 AM,"Hill, Monique",113821,Present
CS281,09/26/2016,12:00 PM,"Walton, Steven",403631,Absent
CS101,09/12/2016,3:00 PM,"Mcbride, Robert",681380,Present
CS191,10/26/2016,3:00 PM,"Spires, Elizabeth",796237,Present
CS101,09/28/2016,3:00 PM,"Schafer, Elizabeth",115255,Present
CS101,09/28/2016,3:00 PM,"Ward, Robert",617152,Present
CS101,10/17/2016,3:00 PM,"Todaro, Teresa",276303,Absent
